Rede,Nome Fantasia,Logradouro,Bairro,Cep,Uf,Municipio,Cnpj,Aberta,Latitude,Longitude
Casas Bahia,Campo Grande 2,"Rua Coronel Agostinho, 97",Campo Grande,23050-360,RJ,Rio De Janeiro,33041260083868,Sim,-22.9041494,-43.5594307
Casas Bahia,Campo Grande,"Rua Coronel Agostinho, 107",Campo Grande,23050-360,RJ,Rio De Janeiro,33041260082977,Sim,-22.9041494,-43.5594307
Casas Bahia,Jaboticabal,"Rua Rui Barbosa, 847",Centro,14870-300,SP,Jaboticabal,33041260121620,Sim,-21.257692,-48.316521
Casas Bahia,Batatais,"Rua Coronel Joaquim Rosa, 232",Centro,14300-089,SP,Batatais,33041260167450,Sim,-20.8955988,-47.5857288
Casas Bahia,Shopping West Shopping,"Estrada Do Mendanha, 555",Campo Grande,23087-283,RJ,Rio De Janeiro,33041260086298,Sim,-22.8558989,-43.5432696
Casas Bahia,Shopping Recreio,"Avenida Das Americas, 19019",Recreio,22790-703,RJ,Rio De Janeiro,33041260083949,Sim,-23.0213349,-43.496146
Casas Bahia,Passos,"Praça Geraldo Da Silva Maia, 5",Centro,37900-096,MG,Passos,33041260135337,Sim,-20.7218249,-46.6091193
Casas Bahia,Santa Cruz Do Rio Pardo,"Avenida Tiradentes, 286",Centro,18900-025,SP,Santa Cruz Do Rio Pardo,33041260126770,Sim,-22.9000264,-49.6217949
Casas Bahia,Queimados,"Rua Vereador Marinho H. Oliveira, 120",Centro,26320-500,RJ,Queimados,33041260082543,Sim,-22.7301072,-43.5582917
Casas Bahia,Piraquara,"Avenida Getulio Vargas, Sn",Centro,83301-010,PR,Piraquara,33041260201224,Sim,-25.4457658,-49.064547
Casas Bahia,Shopping Bangu,"Rua Fonseca, 240",Bangu,21820-005,RJ,Rio De Janeiro,33041260086611,Sim,-22.8827407,-43.4654974
Casas Bahia,Bangu 2,"Avenida Conego Vasconcelos, 468",Bangu,21810-012,RJ,Rio De Janeiro,33041260085305,Não,-22.881087,-43.46489
Casas Bahia,Bangu,"Avenida Conego De Vasconcelos, 111",Bangu,21810-011,RJ,Rio De Janeiro,33041260085054,Sim,-22.8789068,-43.4646307
Casas Bahia,Colombo,"Rua Arquimedes, 142",Maracana,83408-270,PR,Colombo,33041260110261,Sim,-25.3672084,-49.1865248
Casas Bahia,Valenca,"Rua Dos Mineiros, 58",Centro,27600-000,RJ,Valença,33041260088665,Sim,-22.2459273,-43.7069051
Casas Bahia,Pontal,"Avenida Moacir Ramazini, 1040",Centro,14180-000,SP,Pontal,33041260177331,Não,-20.982753,-48.056394
Casas Bahia,Molte Alto 2,"Rua Nhonho Livramento, 1565",Centro,15910-000,SP,Monte Alto,33041260168936,Sim,-21.25541,-48.538732
Casas Bahia,Pinhais,"Avenida Jacob Macanhan, 449",Centro,83324-510,PR,Pinhais,33041260077892,Sim,-25.4150505,-49.1814695
Casas Bahia,Nova Iguacu 3,"Avenida Governador Amaral Peixoto, 25",Centro,26210-000,RJ,Nova Iguaçu,33041260082039,Sim,-22.759768,-43.4516133
Casas Bahia,Park Shopping Sulacap,"Avenida Marechal Fontenelle, 3545",Campo Afonsos,21740-001,RJ,Rio De Janeiro,33041260144751,Sim,-22.8813997,-43.4129889
Casas Bahia,Nova Iguacu 1,"Praça Da Liberdade, 38",Centro,26210-050,RJ,Nova Iguaçu,33041260082110,Sim,-22.7606708,-43.4492793
Casas Bahia,Nova Iguacu,"Avenida Governador Amaral Peixoto, 416",Centro,26210-030,RJ,Nova Iguaçu,33041260081733,Sim,-22.759893,-43.4484505
Casas Bahia,Shopping Metropolitano Barra,"Avenida Embaixador Abelardo Bueno, 1300",Barra Da Tijuca,22775-039,RJ,Rio De Janeiro,33041260144166,Sim,-22.9733878,-43.3794202
Casas Bahia,Nilopolis,"Estrada Do Mirandela, 121",Centro,26520-331,RJ,Nilópolis,33041260081148,Sim,-22.8110881,-43.4220263
Casas Bahia,Shopping Iguacu Top,"Avenida Governador Roberto Silveira, 540",Centro,26285-000,RJ,Nova Iguaçu,33041260081814,Sim,-22.7508295,-43.4400683
Casas Bahia,Shopping Via Parque 2,"Avenida Ayrton Senna, 3000",Barra Da Tijuca,22775-003,RJ,Rio De Janeiro,33041260086107,Sim,-22.9926177,-43.36551559999999
Casas Bahia,Shopping Jockey Plaza,"Avenida Victor Ferreira Do Amaral, 2633",Taruma,82810-350,PR,Curitiba,33041260180634,Sim,-25.4307772,-49.2101256
Casas Bahia,Taquara 1,"Rua Apiacas, 395",Taquara,22730-190,RJ,Rio De Janeiro,33041260084910,Sim,-22.9212794,-43.3720814
Casas Bahia,Bacacheri,"Avenida Prefeito Erasto Gaertner, 149",Bacacheri,82510-160,PR,Curitiba,33041260110423,Sim,-25.4037091,-49.24347119999999
Casas Bahia,Shopping Center Rio,"Avenida Geremario Dantas, 404",Tanque,22735-015,RJ,Rio De Janeiro,33041260085569,Sim,-22.9163558,-43.361595
Casas Bahia,Cb Miguel Couto 1 - Rj,"Pc Miguel Couto, 08",Miguel Couto,26070-431,RJ,Nova Iguaçu,33041260199904,Não,-22.6983672,-43.42507310000001
Casas Bahia,Belford Roxo,"Praça Getulio Vargas, 15",Centro,26130-070,RJ,Belford Roxo,33041260079160,Sim,-22.7646875,-43.4000347
Casas Bahia,Shopping Prezunic Center Guadalupe,"Avenida Brasil, 22693",Metropolitana,21670-000,RJ,Rio De Janeiro,33041260086530,Não,-22.843391,-43.374056
Casas Bahia,Shopping Jardim Guadalupe,"Avenida Brasil, 22215",Guadalupe,21670-000,RJ,Rio De Janeiro,33041260104881,Sim,-22.8428169,-43.3732304
Casas Bahia,Rio Das Pedras,"Estrada Jacarepagua, 0",Itanhanga,22753-050,RJ,Rio De Janeiro,33041260121204,Sim,-22.9749407,-43.3337535
Casas Bahia,Shopping Jardim Das Américas,"Avenida Nossa Senhora De Lourdes, 63",Jardim Das Americas,81530-020,PR,Curitiba,33041260110695,Sim,-25.4543925,-49.2269369
Casas Bahia,Shopping Park Jacarepagua,"Est Do Jacarepagua, 6069",Jacarepagua,22753-033,RJ,Rio De Janeiro,33041260207699,Sim,-22.9796428,-43.3268592
Casas Bahia,Curitiba,"Rua Marechal Deodoro, 200",Centro,80010-010,PR,Curitiba,33041260026392,Não,-25.427286,-49.259592
Casas Bahia,Curitiba,"Rua Marechal Deodoro, 327",Centro,80020-320,PR,Curitiba,33041260091020,Sim,-25.4272859,-49.2595924
Casas Bahia,Curitiba 2,"Rua Marechal Deodoro, 113",Centro,80020-320,PR,Curitiba,33041260091100,Sim,-25.4272859,-49.2595924
Casas Bahia,São João De Meriti 1,"Rua Da Matriz, 163",Centro,25520-640,RJ,São João De Meriti,33041260154552,Sim,-22.80057,-43.372195
Casas Bahia,São João De Meriti 3,"Rua Da Matriz, 33",Centro,25520-640,RJ,São João De Meriti,33041260087421,Sim,-22.80057,-43.372195
Casas Bahia,Madureira Shopping,"Estrada Do Portela, 222",Madureira,21351-051,RJ,Rio De Janeiro,33041260084325,Sim,-22.870323,-43.3423351
Casas Bahia,Shopping Rio Ville,"Avenida Automovel Clube, 2384",Vilar Do Teles,25515-126,RJ,São João De Meriti,33041260087774,Sim,-22.790525,-43.364476
